y: Angle of attack, u: Rudder deflection
-0.0136,-0.1745
-0.0149,-0.1745
-0.0164,-0.1745
-0.0177,-0.1745
-0.0190,-0.1745
-0.0201,-0.1745
-0.0208,0.1745
-0.0213,0.1745
-0.0215,0.1745
-0.0215,0.1745
-0.0215,0.1745
-0.0215,0.1745
-0.0216,0.1745
-0.0219,0.1745
-0.0224,0.1745
-0.0230,0.1745
-0.0239,0.1745
-0.0248,0.1745
-0.0260,0.1745
-0.0272,0.1745
-0.0286,0.1745
-0.0301,0.1745
-0.0317,0.1745
-0.0335,0.1745
-0.0352,0.1745
-0.0371,0.1745
-0.0391,0.1745
-0.0411,0.1745
-0.0431,0.1745
-0.0452,0.1745
-0.0473,-0.1745
-0.0495,-0.1745
-0.0515,-0.1745
-0.0534,-0.1745
-0.0551,-0.1745
-0.0563,-0.1745
-0.0571,-0.1745
-0.0575,-0.1745
-0.0574,-0.1745
-0.0568,-0.1745
-0.0558,-0.1745
-0.0543,-0.1745
-0.0524,-0.1745
-0.0502,-0.1745
-0.0475,-0.1745
-0.0445,-0.1745
-0.0412,-0.1745
-0.0376,-0.1745
-0.0337,-0.1745
-0.0295,-0.1745
-0.0251,-0.1745
-0.0204,-0.1745
-0.0156,-0.1745
-0.0106,-0.1745
-0.0054,-0.1745
-0.0001,-0.1745
0.0053,-0.1745
0.0108,-0.1745
0.0163,-0.1745
0.0219,-0.1745
0.0276,-0.1745
0.0332,-0.1745
0.0388,-0.1745
0.0444,-0.1745
0.0499,-0.1745
