y1,y2,y3,u1,u2,u3
316.73017750653,21.9377492642401,0.218165200244477,-500000,-500000,-5000000
321.013121187565,22.0193483107042,0.223296689827327,-500000,-500000,-5000000
325.211777318649,22.066639900964,0.244813772639014,-500000,-500000,-5000000
329.279458364063,22.1567859455325,0.224523062829269,-500000,-500000,-5000000
333.215880925773,22.1949306871465,0.230924175267019,-500000,-500000,-5000000
337.026984027625,22.2228598415863,0.234079747579642,-500000,-500000,-5000000
340.680390694004,22.2079653945667,0.233682859655149,-500000,-500000,-5000000
344.252803963782,22.1893906951398,0.234250179279014,-500000,-500000,-5000000
347.670348840014,22.1985866520839,0.225962238608587,-500000,-500000,-5000000
350.964144103204,22.1702278573401,0.239017562522947,-500000,-500000,-5000000
354.136115957758,22.1168758930855,0.218625928354016,-500000,-500000,-5000000
357.180358166682,22.0744638765968,0.258557346559501,-500000,-500000,-5000000
