y:Bottomhole Pressure,flow,u:Valve
0.1102,1.8479,0.2325
0.1099,1.8504,0.2175
0.1027,1.8560,0.2175
0.1025,1.8616,0.2175
0.1026,1.8677,0.2175
0.1031,1.8741,0.2175
0.1037,1.8805,0.2175
0.1045,1.8867,0.2175
0.1053,1.8928,0.2175
0.1061,1.8986,0.2175
0.1069,1.9041,0.2175
0.1078,1.9093,0.2175
0.1085,1.9141,0.2175
0.1093,1.9185,0.2175
0.1100,1.9226,0.2175
0.1107,1.9264,0.2175
0.1113,1.9299,0.2175
0.1119,1.9331,0.2175
0.1130,1.9368,0.2175
0.1146,1.9406,0.2175
0.1160,1.9437,0.2175
0.1176,1.9465,0.2175
0.1188,1.9484,0.2175
0.1207,1.9507,0.2175
0.1214,1.9504,0.2175
0.1234,1.9519,0.2175
0.1233,1.9495,0.2175
0.1243,1.9488,0.2325
0.1343,1.9447,0.2325
0.1355,1.9397,0.2325
0.1363,1.9338,0.2325
0.1369,1.9272,0.2325
0.1371,1.9199,0.2325
0.1371,1.9121,0.2325
0.1367,1.9039,0.2325
0.1359,1.8954,0.2325
0.1349,1.8867,0.2175
0.1249,1.8813,0.2175
0.1234,1.8763,0.2175
0.1220,1.8718,0.2175
0.1205,1.8680,0.2175
0.1190,1.8647,0.2175
0.1176,1.8622,0.2175
0.1162,1.8603,0.2175
0.1149,1.8590,0.2175
0.1137,1.8584,0.2175
0.1126,1.8584,0.2175
0.1116,1.8590,0.2175
0.1107,1.8602,0.2175
0.1099,1.8618,0.2175
0.1093,1.8640,0.2175
0.1088,1.8665,0.2175
0.1084,1.8695,0.2175
0.1081,1.8727,0.2175
0.1080,1.8762,0.2175
0.1079,1.8799,0.2175
0.1080,1.8838,0.2175
0.1082,1.8878,0.2175
0.1085,1.8918,0.2175
0.1089,1.8958,0.2175
0.1094,1.8998,0.2175
0.1100,1.9037,0.2175
0.1107,1.9075,0.2175
0.1114,1.9111,0.2175
0.1122,1.9146,0.2175
0.1130,1.9177,0.2175
0.1139,1.9207,0.2175
0.1148,1.9233,0.2175
0.1157,1.9256,0.2175
0.1166,1.9275,0.2175
0.1175,1.9291,0.2175
0.1184,1.9304,0.2175
0.1193,1.9312,0.2175
0.1201,1.9317,0.2175
0.1209,1.9318,0.2175
0.1216,1.9315,0.2175
0.1223,1.9308,0.2175
0.1229,1.9298,0.2175
0.1234,1.9284,0.2175
0.1238,1.9267,0.2175
0.1242,1.9247,0.2175
0.1244,1.9224,0.2175
0.1245,1.9199,0.2175
0.1246,1.9172,0.2325
0.1334,1.9114,0.2325
0.1335,1.9052,0.2325
0.1332,1.8986,0.2325
0.1327,1.8918,0.2325
0.1320,1.8848,0.2325
0.1310,1.8778,0.2325
0.1299,1.8710,0.2325
0.1285,1.8644,0.2325
0.1271,1.8581,0.2325
0.1255,1.8523,0.2325
0.1238,1.8471,0.2325
0.1221,1.8425,0.2325
